:START_ID,:END_ID,:TYPE
Sema4,Healthcare,SECTOR
iFit,Fitness,SECTOR
Ribbon,Real Estate,SECTOR
Pipedrive,Sales,SECTOR
Intercom,Support,SECTOR
Science 37 ,Healthcare,SECTOR
Pear Therapeutics,Healthcare,SECTOR
Cardlytics,Marketing,SECTOR
Cloudinary,Media,SECTOR
Nestcoin,Crypto,SECTOR
Gokada,Transportation,SECTOR
Veev,Real Estate,SECTOR
Forto,Logistics,SECTOR
GoTo Group,Transportation,SECTOR
Juul,Consumer,SECTOR
Blend,Finance,SECTOR
InfluxData,Data,SECTOR
Coinbase,Crypto,SECTOR
SoundHound,Other,SECTOR
Wistia,Marketing,SECTOR
Ocavu,Crypto,SECTOR
Meta,Consumer,SECTOR
Redfin,Real Estate,SECTOR
Flyhomes,Real Estate,SECTOR
AvantStay,Travel,SECTOR
Root Insurance,Finance,SECTOR
Liftoff,Marketing,SECTOR
Cameo,Consumer,SECTOR
Plum,Healthcare,SECTOR
Kabam,Consumer,SECTOR
HighRadius,Finance,SECTOR
Namogoo,Marketing,SECTOR
EverBridge,Other,SECTOR
Repertoire Immune Medicines,Healthcare,SECTOR
Salesforce,Sales,SECTOR
Unacademy,Education,SECTOR
Zendesk,Support,SECTOR
Dock,Finance,SECTOR
Varonis,Security,SECTOR
Brainly,Education,SECTOR
Twitter,Consumer,SECTOR
Udaan,Retail,SECTOR
Planetly,Other,SECTOR
KoinWorks,Finance,SECTOR
Exodus,Crypto,SECTOR
Stripe,Finance,SECTOR
Lyft,Transportation,SECTOR
LendingTree,Finance,SECTOR
Pleo,Finance,SECTOR
Delivery Hero,Food,SECTOR
Shippo,Logistics,SECTOR
Opendoor,Real Estate,SECTOR
Chime,Finance,SECTOR
Chargebee,Finance,SECTOR
Dapper Labs,Crypto,SECTOR
Checkmarx,Security,SECTOR
Smava,Finance,SECTOR
Iron Ox,Food,SECTOR
Digital Currency Gruop,Crypto,SECTOR
Argo AI,Transportation,SECTOR
Booking.com,Travel,SECTOR
Oracle,Other,SECTOR
Upstart,Finance,SECTOR
Gem,Recruiting,SECTOR
Oda,Food,SECTOR
Oda,Food,SECTOR
Oda,Food,SECTOR
Hootsuite,Marketing,SECTOR
Drop,Marketing,SECTOR
Tapps Games,Consumer,SECTOR
Kry,Healthcare,SECTOR
Notarize,Legal,SECTOR
EquityZen,Finance,SECTOR
Equitybee,Finance,SECTOR
Dukaan,Retail,SECTOR
Amazon,Retail,SECTOR
Fifth Season,Food,SECTOR
Advata,Healthcare,SECTOR
RenoRun,Construction,SECTOR
Recharge,Finance,SECTOR
Lattice,HR,SECTOR
MindBody,Fitness,SECTOR
Zillow,Real Estate,SECTOR
Cybereason,Security,SECTOR
Argo AI,Transportation,SECTOR
GoFundMe,Finance,SECTOR
Fundbox,Finance,SECTOR
Embroker,Finance,SECTOR
Vee,HR,SECTOR
Philips,Healthcare,SECTOR
Cerebral,Healthcare,SECTOR
Snyk,Security,SECTOR
McMakler,Real Estate,SECTOR
Unico,Other,SECTOR
OrCam,Healthcare,SECTOR
Antidote Health,Healthcare,SECTOR
Khoros,Sales,SECTOR
F5,Security,SECTOR
Elinvar,Finance,SECTOR
Synapsica,Healthcare,SECTOR
Hotmart,Marketing,SECTOR
Zeus Living,Real Estate,SECTOR
Loom,Product,SECTOR
Sales Boomerang,Sales,SECTOR
Gopuff,Food,SECTOR
AtoB,Finance,SECTOR
InfoSum,Security,SECTOR
Faire,Retail,SECTOR
Leafly,Retail,SECTOR
Ada Health,Healthcare,SECTOR
Tiendanube,Marketing,SECTOR
Flipboard,Media,SECTOR
Clear Capital,Real Estate,SECTOR
Beyond Meat,Food,SECTOR
Salesforce,Sales,SECTOR
Playdots,Consumer,SECTOR
Byju's,Education,SECTOR
6sense,Sales,SECTOR
Sinch,Other,SECTOR
FrontRow,Education,SECTOR
Noom,Healthcare,SECTOR
MX,Finance,SECTOR
Brex,Finance,SECTOR
Pacaso,Real Estate,SECTOR
Sketch,Other,SECTOR
Udacity,Education,SECTOR
Linkfire,Marketing,SECTOR
HelloFresh,Food,SECTOR
Momentive,Marketing,SECTOR
Pavilion Data,Infrastructure,SECTOR
Redesign Health,Healthcare,SECTOR
BioMarin,Healthcare,SECTOR
Rev.com,Data,SECTOR
Crypto.com,Crypto,SECTOR
Peloton,Fitness,SECTOR
Landing,Real Estate,SECTOR
Turnitin,Education,SECTOR
Impossible Foods,Food,SECTOR
Built In,Recruiting,SECTOR
8x8,Support,SECTOR
Homie,Real Estate,SECTOR
WazirX,Crypto,SECTOR
Spin,Transportation,SECTOR
Westwing,Retail,SECTOR
Mux,Infrastructure,SECTOR
DocuSign,Sales,SECTOR
Divvy Homes,Real Estate,SECTOR
Konfio,Finance,SECTOR
Moss,Finance,SECTOR
Foxtrot,Food,SECTOR
Truiloo,Security,SECTOR
NYDIG,Crypto,SECTOR
Klarna,Finance,SECTOR
Kitty Hawk,Aerospace,SECTOR
Compass,Real Estate,SECTOR
Curative,Healthcare,SECTOR
Ada,Support,SECTOR
99,Transportation,SECTOR
Ola,Transportation,SECTOR
Vesalius Therapeutics,Healthcare,SECTOR
Clear,Finance,SECTOR
TrueLayer,Finance,SECTOR
LivePerson,Support,SECTOR
Acast,Media,SECTOR
WorkRamp,HR,SECTOR
Twilio,Other,SECTOR
Pitch,Marketing,SECTOR
Infarm,Other,SECTOR
Netflix,Media,SECTOR
Rubius,Healthcare,SECTOR
Checkout.com,Finance,SECTOR
Taboola,Marketing,SECTOR
Patreon,Media,SECTOR
Quicko,Transportation,SECTOR
Mode Analytics,Data,SECTOR
Compete,HR,SECTOR
SkipTheDishes,Food,SECTOR
Brighte,Energy,SECTOR
Patreon,Media,SECTOR
GoStudent,Education,SECTOR
Pomelo Fashion,Retail,SECTOR
Genome Medical,Healthcare,SECTOR
Simple Feast,Food,SECTOR
Foodpanda,Food,SECTOR
Uber,Transportation,SECTOR
Rupeek,Finance,SECTOR
Intercom,Support,SECTOR
Pendo,Product,SECTOR
Demandbase,Sales,SECTOR
Brave Care,Healthcare,SECTOR
Lawgeex,Legal,SECTOR
Kuda,Finance,SECTOR
2TM,Crypto,SECTOR
Innovaccer,Healthcare,SECTOR
Shopify,Retail,SECTOR
Urban Sports Club,Fitness,SECTOR
Hedvig,Finance,SECTOR
Snap,Consumer,SECTOR
GoodRx,Healthcare,SECTOR
Smava,Finance,SECTOR
Hippo Insurance,Finance,SECTOR
Clari,Sales,SECTOR
Koo,Consumer,SECTOR
TCR2,Healthcare,SECTOR
Apartment List,Real Estate,SECTOR
Artnight,Retail,SECTOR
Electric,Other,SECTOR
Immersive Labs,Security,SECTOR
Nate,Retail,SECTOR
Meesho,Retail,SECTOR
54gene,Healthcare,SECTOR
Zymergen,Other,SECTOR
Okta,Security,SECTOR
Argyle,Finance,SECTOR
FreshDirect,Food,SECTOR
Loja Integrada,Retail,SECTOR
Reali,Real Estate,SECTOR
Loop,Finance,SECTOR
Tier Mobility,Transportation,SECTOR
Packable,Retail,SECTOR
Q4,Other,SECTOR
Skedulo,HR,SECTOR
Plato,HR,SECTOR
NSO,Security,SECTOR
Tufin,Security,SECTOR
Amperity,Marketing,SECTOR
Wayfair,Retail,SECTOR
Stripe,Finance,SECTOR
Hodlnaut,Crypto,SECTOR
New Relic,Infrastructure,SECTOR
Wheel,Healthcare,SECTOR
Malwarebytes,Security,SECTOR
Fluke,Other,SECTOR
Swyftx,Crypto,SECTOR
Tempo Automation,Other,SECTOR
Genesis,Crypto,SECTOR
Warren,Finance,SECTOR
AlayaCare,Healthcare,SECTOR
Pliops,Data,SECTOR
Woven,HR,SECTOR
Sema4,Healthcare,SECTOR
Blend,Finance,SECTOR
ContraFect,Healthcare,SECTOR
Anywell,Real Estate,SECTOR
Peloton,Fitness,SECTOR
Truepill,Healthcare,SECTOR
Calm,Healthcare,SECTOR
FourKites,Logistics,SECTOR
Marketforce,Retail,SECTOR
